sno,category,Jira,case_Type,def_vals,Raw_Acceptance_Criteria,Acceptance_Criteria
1,Criminal History,239,generic,,Check PL_DrgArstCnt1Y range 0~99 (except for -99),"PL_DrgArstCnt1Y == -99999 or PL_DrgArstCnt1Y in range(0, 100)"
2,Criminal History,239,generic,,Check PL_DrgArstCnt7Y range 0~999 (except for -99),"PL_DrgArstCnt7Y == -99999 or PL_DrgArstCnt7Y in range(0, 1000)"
3,Criminal History,239,generic,,"Check PL_DrgArstNewMsnc1Y  range 0~12 (except for -99, -98) ","PL_DrgArstNewMsnc1Y in [-99999,-99998] or PL_DrgArstNewMsnc1Y in range(0, 13)"
4,Criminal History,239,generic,,"Check  PL_DrgArstOldMsnc1Y range 0~12 (except for -99, -98) ","PL_DrgArstOldMsnc1Y in [-99999,-99998] or PL_DrgArstOldMsnc1Y in range(0, 13)"
5,Criminal History,239,custom,"-99999,-99998","AC11 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgArstNewDt1Y] ",P_InpClnArchDt  g_builddrgcrimdt PL_DrgArstNewDt1Y PL_DrgArstNewMsnc1Y 
6,Criminal History,239,custom,"-99999,-99998","AC12 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgArstOldDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgArstOldDt1Y PL_DrgArstOldMsnc1Y 
7,Criminal History,239,custom,"-99999,-99998","AC13 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgArstNewDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgArstNewDt7Y PL_DrgArstNewMsnc7Y 
8,Criminal History,239,custom,"-99999,-99998","AC14 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgArstOldDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgArstOldDt7Y PL_DrgArstOldMsnc7Y  
9,Criminal History,239,generic,,"Check PL_DrgArstNewMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgArstNewMsnc7Y in [-99999,-99998] or PL_DrgArstNewMsnc7Y in range(0, 85)"
10,Criminal History,239,generic,,"Check  PL_DrgArstOldMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgArstOldMsnc7Y in [-99999,-99998] or PL_DrgArstOldMsnc7Y in range(0, 85)"
11,Criminal History,239,generic,,Check PL_DrgArstCnt1Y <= PL_DrgArstCnt7Y ,PL_DrgArstCnt1Y <= PL_DrgArstCnt7Y
12,Criminal History,239,generic,,"Check PL_DrgArstNewDt1Y >= PL_DrgArstOldDt1Y (except for -99, -98)","( PL_DrgArstNewDt1Y in [-99999,-99998]) or ( PL_DrgArstOldDt1Y in [-99999,-99998] ) or ( PL_DrgArstNewDt1Y >= PL_DrgArstOldDt1Y )"
13,Criminal History,239,generic,,"Check PL_DrgArstNewDt7Y >= PL_DrgArstOldDt7Y (except for -99, -98) ","( PL_DrgArstNewDt7Y in [-99999,-99998]) or ( PL_DrgArstOldDt7Y in [-99999,-99998] ) or ( PL_DrgArstNewDt7Y >= PL_DrgArstOldDt7Y )"
14,Criminal History,239,generic,,"Check PL_DrgArstNewMsnc1Y <= PL_DrgArstOldMsnc1Y (except for -99, -98) ","( PL_DrgArstNewMsnc1Y in [-99999,-99998]) or ( PL_DrgArstOldMsnc1Y in [-99999,-99998] ) or ( PL_DrgArstNewMsnc1Y <=  PL_DrgArstOldMsnc1Y )"
15,Criminal History,239,generic,,"Check PL_DrgArstNewMsnc7Y <= PL_DrgArstOldMsnc7Y (except for -99, -98) ","( PL_DrgArstNewMsnc7Y in [-99999,-99998]) or ( PL_DrgArstOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgArstNewMsnc7Y <= PL_DrgArstOldMsnc7Y )"
16,Criminal History,239,generic,,"Check PL_DrgArstNewMsnc1Y <= PL_DrgArstNewMsnc7Y (except for -99, -98) ","( PL_DrgArstNewMsnc1Y in [-99999,-99998]) or ( PL_DrgArstNewMsnc7Y in [-99999,-99998] ) or ( PL_DrgArstNewMsnc1Y <= PL_DrgArstNewMsnc7Y )"
17,Criminal History,239,generic,,"Check PL_DrgArstOldMsnc1Y <= PL_DrgArstOldMsnc7Y (except for -99, -98) ","( PL_DrgArstOldMsnc1Y in [-99999,-99998]) or ( PL_DrgArstOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgArstOldMsnc1Y <= PL_DrgArstOldMsnc7Y )"
18,Criminal History,239,generic,,"Check when PL_DrgArstCnt1Y=0, then PL_DrgArstNewDt1Y=PL_DrgArstOldDt1Y=PL_DrgArstNewMsnc1Y=PL_DrgArstOldMsnc1Y=-98 ",( PL_DrgArstCnt1Y <> 0) or ( PL_DrgArstCnt1Y == 0 and PL_DrgArstNewDt1Y == PL_DrgArstOldDt1Y == PL_DrgArstNewMsnc1Y == PL_DrgArstOldMsnc1Y == -99998 )
19,Criminal History,239,generic,,"Check when PL_DrgArstCnt7Y=0, then PL_DrgArstNewDt7Y=PL_DrgArstOldDt7Y=PL_DrgArstNewMsnc7Y=PL_DrgArstOldMsnc7Y=-98 ",( PL_DrgArstCnt7Y <> 0) or ( PL_DrgArstCnt7Y == 0 and PL_DrgArstNewDt7Y == PL_DrgArstOldDt7Y == PL_DrgArstNewMsnc7Y == PL_DrgArstOldMsnc7Y == -99998 )
20,Criminal History,239,generic,,"Check when PL_DrgArstCnt1Y>0, then PL_DrgArstNewDt1Y=PL_DrgArstNewDt7Y and PL_DrgArstNewMsnc1Y=PL_DrgArstNewMsnc7Y",( PL_DrgArstCnt1Y <= 0) or ( PL_DrgArstCnt1Y > 0 and ( PL_DrgArstNewDt1Y == PL_DrgArstNewDt7Y ) and ( PL_DrgArstNewMsnc1Y == PL_DrgArstNewMsnc7Y ) )
21,Criminal History,240,generic,,Check PL_DrgCrimCnt1Y range 0~99 (except for -99) ,"PL_DrgCrimCnt1Y == -99999 or PL_DrgCrimCnt1Y in range(0, 100)"
22,Criminal History,240,generic,,Check  PL_DrgCrimCnt7Y range 0~999 (except for -99) ,"PL_DrgCrimCnt7Y == -99999 or PL_DrgCrimCnt7Y in range(0, 1000)"
23,Criminal History,240,generic,,"Check PL_DrgCrimNewMsnc1Y  range 0~12 (except for -99, -98) ","PL_DrgCrimNewMsnc1Y in [-99999,-99998] or PL_DrgCrimNewMsnc1Y in range(0, 13)"
24,Criminal History,240,generic,,"Check PL_DrgCrimOldMsnc1Y range 0~12 (except for -99, -98) ","PL_DrgCrimOldMsnc1Y in [-99999,-99998] or PL_DrgCrimOldMsnc1Y in range(0, 13)"
25,Criminal History,240,generic,,"Check PL_DrgCrimNewMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgCrimNewMsnc7Y in [-99999,-99998] or PL_DrgCrimNewMsnc7Y in range(0, 85)"
26,Criminal History,240,generic,,"Check  PL_DrgCrimOldMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgCrimOldMsnc7Y in [-99999,-99998] or PL_DrgCrimOldMsnc7Y in range(0, 85)"
27,Criminal History,240,custom,"-99999,-99998","AC11 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNewDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNewDt1Y PL_DrgCrimNewMsnc1Y 
28,Criminal History,240,custom,"-99999,-99998","AC12 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimOldDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimOldDt1Y PL_DrgCrimOldMsnc1Y 
29,Criminal History,240,custom,"-99999,-99998","AC13 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNewDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNewDt7Y PL_DrgCrimNewMsnc7Y 
30,Criminal History,240,custom,"-99999,-99998","AC14 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimOldDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimOldDt7Y PL_DrgCrimOldMsnc7Y 
31,Criminal History,240,generic,,Check PL_DrgCrimCnt1Y <= PL_DrgCrimCnt7Y ,PL_DrgCrimCnt1Y <= PL_DrgCrimCnt7Y
32,Criminal History,240,generic,,"Check PL_DrgCrimNewDt1Y >= PL_DrgCrimOldDt1Y (except for -99, -98)","( PL_DrgCrimNewDt1Y in [-99999,-99998]) or ( PL_DrgCrimOldDt1Y in [-99999,-99998] ) or ( PL_DrgCrimNewDt1Y >= PL_DrgCrimOldDt1Y )"
33,Criminal History,240,generic,,"Check PL_DrgCrimNewDt7Y >= PL_DrgCrimOldDt7Y (except for -99, -98) ","( PL_DrgCrimNewDt7Y in [-99999,-99998]) or ( PL_DrgCrimOldDt7Y in [-99999,-99998] ) or ( PL_DrgCrimNewDt7Y >= PL_DrgCrimOldDt7Y )"
34,Criminal History,240,generic,,"Check PL_DrgCrimNewMsnc1Y <= PL_DrgCrimOldMsnc1Y (except for -99, -98) ","( PL_DrgCrimNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimOldMsnc1Y in [-99999,-99998] ) or ( PL_DrgCrimNewMsnc1Y <=  PL_DrgCrimOldMsnc1Y )"
35,Criminal History,240,generic,,"Check PL_DrgCrimNewMsnc7Y <= PL_DrgCrimOldMsnc7Y (except for -99, -98)","( PL_DrgCrimNewMsnc7Y in [-99999,-99998]) or ( PL_DrgCrimOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimNewMsnc7Y <=  PL_DrgCrimOldMsnc7Y )"
36,Criminal History,240,generic,,"Check PL_DrgCrimNewMsnc1Y <= PL_DrgCrimNewMsnc7Y (except for -99, -98) ","( PL_DrgCrimNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimNewMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimNewMsnc1Y <=  PL_DrgCrimNewMsnc7Y )"
37,Criminal History,240,generic,,"Check PL_DrgCrimOldMsnc1Y <= PL_DrgCrimOldMsnc7Y (except for -99, -98)","( PL_DrgCrimOldMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimOldMsnc1Y <=  PL_DrgCrimOldMsnc7Y )"
38,Criminal History,240,generic,,"Check when PL_DrgCrimCnt1Y=0, then PL_DrgCrimNewDt1Y=PL_DrgCrimOldDt1Y=PL_DrgCrimNewMsnc1Y=PL_DrgCrimOldMsnc1Y=-98 ",( PL_DrgCrimCnt1Y <> 0) or ( PL_DrgCrimCnt1Y == 0 and PL_DrgCrimNewDt1Y == PL_DrgCrimOldDt1Y == PL_DrgCrimNewMsnc1Y == PL_DrgCrimOldMsnc1Y == -99998)
39,Criminal History,240,generic,,"Check when PL_DrgCrimCnt7Y=0, then PL_DrgCrimNewDt7Y=PL_DrgCrimOldDt7Y=PL_DrgCrimNewMsnc7Y=PL_DrgCrimOldMsnc7Y=-98 ",( PL_DrgCrimCnt7Y <> 0) or ( PL_DrgCrimCnt7Y == 0 and PL_DrgCrimNewDt7Y == PL_DrgCrimOldDt7Y == PL_DrgCrimNewMsnc7Y == PL_DrgCrimOldMsnc7Y == -99998)
40,Criminal History,240,generic,,"Check when PL_DrgCrimCnt1Y>0, then PL_DrgCrimNewDt1Y=PL_DrgCrimNewDt7Y and PL_DrgCrimNewMsnc1Y=PL_DrgCrimNewMsnc7Y",( PL_DrgCrimCnt1Y <= 0) or ( PL_DrgCrimCnt1Y > 0 and ( PL_DrgCrimNewDt1Y == PL_DrgCrimNewDt7Y ) and ( PL_DrgCrimNewMsnc1Y == PL_DrgCrimNewMsnc7Y ) )
41,Criminal History,241,generic,,"Check PL_DrgCrimFelCnt1Y range 0~99, (except for -99) ","PL_DrgCrimFelCnt1Y == -99999 or PL_DrgCrimFelCnt1Y in range(0, 100)"
42,Criminal History,241,generic,,Check  PL_DrgCrimFelCnt7Y range 0~999 (except for -99) ,"PL_DrgCrimFelCnt7Y == -99999 or PL_DrgCrimFelCnt7Y in range(0, 1000)"
